session,idea_id,idea_name,joy,composability,taste,compression,showable,ethical,complexity,k_score,category,ethical_gate
Session 6,F.54,Drift Detector,3,4,4,4,3,5,4,18.72,Solid,PASS
Session 6,F.55,Contract Library Browser,4,4,4,4,4,5,3,25.30,Strong Win,PASS
Session 6,F.56,Forge Playground,4,4,4,3,4,5,3,24.16,Solid,PASS
Session 6,F.57,Intent Refiner,3,4,4,4,3,5,2,25.55,Strong Win,PASS
Session 6,F.58,Artifact Health Dashboard,3,4,4,4,4,5,3,23.05,Solid,PASS
Session 6,F.59,Quick Forge Mode,4,4,4,4,3,5,2,25.55,Strong Win,PASS
Session 6,F.60,Forge Templates Gallery,4,5,5,4,4,5,2,36.80,Strong Win,PASS
Session 6,CLI.61,kg create wizard,4,5,5,4,4,5,2,36.80,Strong Win,PASS
Session 6,CLI.62,kg oblique,5,3,5,4,5,5,1,40.08,Crown Jewel,PASS
Session 6,CLI.63,kg payada topic,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 6,CLI.64,kg brainstorm seed,4,4,5,4,4,5,2,33.22,Strong Win,PASS
Session 6,CLI.65,kg grammar try domain,5,5,5,4,5,5,2,42.55,Crown Jewel,PASS
Session 6,CLI.66,kg forge intent,4,5,5,4,4,5,2,36.80,Strong Win,PASS
Session 6,CLI.67,kg blend a b,5,5,5,4,5,5,2,42.55,Crown Jewel,PASS
Session 6,CLI.68,kg constrain topic,4,4,5,4,4,5,1,37.14,Strong Win,PASS
Session 6,CLI.69,kg yes-and idea,4,4,5,4,4,5,1,37.14,Strong Win,PASS
Session 6,CLI.70,kg safety-cage domain,5,5,5,4,5,5,2,42.55,Crown Jewel,PASS
Session 6,CLI.71,kg artifact show name,4,4,5,3,5,5,2,33.97,Strong Win,PASS
Session 6,CLI.72,kg artifact lineage name,3,4,4,3,4,5,2,24.98,Solid,PASS
Session 6,CLI.73,kg contract compare a b,3,5,4,4,4,5,2,29.75,Strong Win,PASS
Session 6,CLI.74,kg warm-up,4,3,4,3,3,5,1,25.65,Strong Win,PASS
Session 6,CLI.75,kg surprise-me,5,3,5,4,4,5,1,37.79,Strong Win,PASS
Session 6,CLI.76,kg muse name,4,4,4,3,4,5,2,27.60,Strong Win,PASS
Session 6,CLI.77,kg workshop topic,5,5,5,4,4,5,3,33.11,Strong Win,PASS
Session 6,CLI.78,kg grammar check tongue,3,4,4,4,3,5,2,25.55,Strong Win,PASS
Session 6,CLI.79,kg forge replay artifact,4,4,5,3,5,5,2,33.97,Strong Win,PASS
Session 6,CLI.80,kg playground REPL,5,5,5,3,4,5,3,31.69,Strong Win,PASS
Session 6,Int.81,CreativityCoach + WundtCurator,4,5,5,4,4,5,2,36.80,Strong Win,PASS
Session 6,Int.82,G-gent + F-gent Handshake,5,5,5,4,5,5,4,29.48,Strong Win,PASS
Session 6,Int.83,PAYADOR + Skeleton,5,5,4,3,4,5,4,23.19,Solid,PASS
Session 6,Int.84,Oblique + Pataphysics,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 6,Int.85,Blending + Forge,4,5,5,4,4,5,3,30.35,Strong Win,PASS
Session 6,Int.86,Grammar + Safety Cage,5,5,5,4,5,5,3,36.86,Strong Win,PASS
Session 6,Int.87,CreativityCoach + K-gent,4,4,5,4,4,5,3,28.64,Strong Win,PASS
Session 6,Int.88,Forge + L-gent Search,4,5,4,4,4,5,3,27.65,Strong Win,PASS
Session 6,Int.89,ALO + Terrarium,4,5,5,4,5,5,4,29.11,Strong Win,PASS
Session 6,Int.90,Grammar + Flux,3,5,4,4,3,5,4,21.17,Solid,PASS
Session 8,Omega.1,kg feel,5,4,5,5,5,5,2,40.82,Crown Jewel,PASS
Session 8,Omega.2,Morphology REPL,5,5,5,4,5,5,2,42.55,Crown Jewel,PASS
Session 8,Omega.3,kg body sense,5,4,5,4,5,5,2,37.50,Strong Win,PASS
Session 8,Omega.4,Chrysalis Watcher TUI,5,5,5,4,5,5,3,36.86,Strong Win,PASS
Session 8,Omega.5,Morpheme Catalog,4,4,5,4,5,5,2,36.53,Strong Win,PASS
Session 8,Omega.6,kg morph,4,5,5,4,5,5,2,40.00,Crown Jewel,PASS
Session 8,Omega.7,Body Stress Alerts,4,4,5,4,5,5,3,31.16,Strong Win,PASS
Session 8,Omega.8,Topology Graph TUI,5,5,5,3,5,5,4,28.97,Strong Win,PASS
Session 8,Omega.9,Morphology Cost Preview,4,4,5,4,5,5,2,36.53,Strong Win,PASS
Session 8,Omega.10,Branch Visualizer,5,5,5,3,5,5,4,28.97,Strong Win,PASS
Session 8,Omega.11,Body Emoji Status,5,3,5,3,5,5,2,31.19,Strong Win,PASS
Session 8,Omega.12,Morpheme Validator,4,5,4,4,4,5,3,27.65,Strong Win,PASS
Session 8,Omega.13,Morphology Templates,3,4,4,4,4,5,2,27.60,Strong Win,PASS
Session 8,Omega.14,Chrysalis Log,4,4,5,3,5,5,4,23.69,Solid,PASS
Session 8,Omega.15,Y-gent Merge Strategies,4,5,5,4,5,5,5,26.48,Strong Win,PASS
Session 8,Omega.16,Body Diff,4,4,4,3,4,5,3,24.16,Solid,PASS
Session 8,Omega.17,Topology Timeline,4,4,5,4,5,5,5,24.33,Solid,PASS
Session 8,Omega.18,Proprioception History,4,4,4,3,4,5,4,21.04,Solid,PASS
Session 8,Omega.19,Branch Budget Forecast,4,4,4,4,4,5,5,20.51,Solid,PASS
Session 8,Omega.20,Body Simulator,5,4,5,3,5,5,7,19.41,Solid,PASS
Session 9,D.1,Symbiont Playground,5,5,5,3,5,5,2,38.25,Strong Win,PASS
Session 9,D.2,State Before/After Diff,4,4,4,4,5,5,2,30.36,Strong Win,PASS
Session 9,D.3,Memory Layers Dashboard,5,4,5,3,5,5,3,29.74,Strong Win,PASS
Session 9,D.4,Wheres My State CLI,3,4,4,4,4,5,1,31.63,Strong Win,PASS
Session 9,D.5,State Timeline,5,4,5,4,5,5,2,37.50,Strong Win,PASS
Session 9,D.6,Symbiont Composer,5,5,5,3,5,5,3,34.46,Strong Win,PASS
Session 9,D.7,Live State Sync,4,4,4,3,5,5,2,30.10,Strong Win,PASS
Session 9,D.8,State Pulse,4,3,4,3,5,5,1,30.08,Strong Win,PASS
Session 9,D.9,Am I Volatile CLI,3,4,4,4,4,5,1,31.63,Strong Win,PASS
Session 9,D.10,Memory Type Detective,3,4,4,4,4,5,1,31.63,Strong Win,PASS
Session 9,D.11,Lens Playground,5,5,5,3,5,5,2,38.25,Strong Win,PASS
Session 9,D.12,Lens Law Validator,4,5,4,4,4,5,2,32.32,Strong Win,PASS
Session 9,D.13,Prism Explorer,4,4,4,3,5,5,2,30.10,Strong Win,PASS
Session 9,D.14,Traversal Painter,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 9,D.15,Lens Debugger,4,4,4,3,4,5,2,27.60,Strong Win,PASS
Session 9,D.16,Focus Path CLI,4,4,4,4,4,5,1,34.35,Strong Win,PASS
Session 9,D.17,Multi-Lens View,5,5,5,3,5,5,2,38.25,Strong Win,PASS
Session 9,D.18,Lens Telescope,5,5,5,3,5,5,2,38.25,Strong Win,PASS
Session 9,D.19,What Can I Focus,4,4,4,4,4,5,2,29.44,Strong Win,PASS
Session 9,D.20,Lens Performance,3,4,4,3,3,5,2,23.51,Solid,PASS
Session 9,D.21,Crystal Gallery,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 9,D.22,Crystallize Now CLI,4,4,5,4,4,5,1,37.14,Strong Win,PASS
Session 9,D.23,Resume Explorer,5,4,5,4,5,5,2,37.50,Strong Win,PASS
Session 9,D.24,Crystal Lineage Tree,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 9,D.25,Cherish Mode,5,3,5,3,5,5,1,36.54,Strong Win,PASS
Session 9,D.26,Crystal Reaper Dashboard,4,4,4,3,5,5,2,30.10,Strong Win,PASS
Session 9,D.27,Time Travel Debug,5,5,5,4,5,5,3,36.86,Strong Win,PASS
Session 9,D.28,Compression Showdown,4,3,4,3,4,5,2,24.84,Solid,PASS
Session 9,D.29,Crystal Diff,4,4,5,4,5,5,2,36.53,Strong Win,PASS
Session 9,D.30,Auto-Crystallize,4,4,4,4,4,5,2,29.44,Strong Win,PASS
Session 9,D.31,Registry TUI Browser,5,4,5,4,5,5,2,37.50,Strong Win,PASS
Session 9,D.32,What Exists CLI,3,4,4,4,4,5,1,31.63,Strong Win,PASS
Session 9,D.33,Semantic Search Registry,5,5,5,4,5,5,2,42.55,Crown Jewel,PASS
Session 9,D.34,Type Compatibility Check,4,5,4,4,4,5,2,32.32,Strong Win,PASS
Session 9,D.35,Registry Stats,3,3,4,3,4,5,2,21.91,Solid,PASS
Session 9,D.36,Freshness Heatmap,4,4,4,3,5,5,2,30.10,Strong Win,PASS
Session 9,D.37,Deprecation Warnings,4,4,4,4,4,5,2,29.44,Strong Win,PASS
Session 9,D.38,Auto-Register on Invoke,4,5,4,4,4,5,2,32.32,Strong Win,PASS
Session 9,D.39,Usage Analytics,3,3,4,4,3,5,2,21.09,Solid,PASS
Session 9,D.40,Registry Diff,4,3,4,3,4,5,2,24.84,Solid,PASS
Session 9,D.41,Lineage Tree,5,5,5,3,5,5,2,38.25,Strong Win,PASS
Session 9,D.42,Blame Tracker,5,4,5,4,5,5,2,37.50,Strong Win,PASS
Session 9,D.43,Impact Analysis,5,5,5,4,5,5,2,42.55,Crown Jewel,PASS
Session 9,D.44,Ancestor Breadcrumbs,4,4,4,4,4,5,1,34.35,Strong Win,PASS
Session 9,D.45,Fork Detector,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 9,D.46,Dependency Walker,4,4,4,4,4,5,2,29.44,Strong Win,PASS
Session 9,D.47,Lineage Export DOT,4,4,4,3,5,5,2,30.10,Strong Win,PASS
Session 9,D.48,Relationship Heatmap,3,3,4,3,4,5,2,21.91,Solid,PASS
Session 9,D.49,Contradict Detector,4,4,4,4,4,5,2,29.44,Strong Win,PASS
Session 9,D.50,Lineage Time Machine,5,4,5,3,5,5,3,29.74,Strong Win,PASS
Session 9,D.51,Garden Growth,5,4,5,3,5,5,3,29.74,Strong Win,PASS
Session 9,D.52,Compost Pile,5,3,5,2,5,5,2,29.09,Strong Win,PASS
Session 9,D.53,Trust Thermometer,4,4,5,4,5,5,1,40.50,Crown Jewel,PASS
Session 9,D.54,Evidence Counter,4,4,5,4,5,5,2,36.53,Strong Win,PASS
Session 9,D.55,Memory Mycelium,5,5,5,3,5,5,3,34.46,Strong Win,PASS
Session 11,I.1,Entropy Playground,5,4,5,4,5,5,1,43.65,Crown Jewel,PASS
Session 11,I.2,Glitch Button,5,3,5,3,5,5,1,36.54,Strong Win,PASS
Session 11,I.3,Density ASCII Art,5,4,5,4,5,5,1,43.65,Crown Jewel,PASS
Session 11,I.4,Breath Sync,5,3,5,3,5,5,1,36.54,Strong Win,PASS
Session 11,I.5,LOD Slider,4,4,5,4,5,5,1,40.50,Crown Jewel,PASS
Session 11,I.6,Phase Transition,5,4,5,3,5,5,1,40.50,Crown Jewel,PASS
Session 11,I.7,Sparkline Generator,4,4,5,5,5,5,1,43.43,Crown Jewel,PASS
Session 11,I.8,Whats My Entropy,3,3,4,4,4,5,1,26.53,Strong Win,PASS
Session 11,I.9,Oblique Flash,5,4,5,4,5,5,1,43.65,Crown Jewel,PASS
Session 11,I.10,Agent Weather Report,4,4,5,4,5,5,1,40.50,Crown Jewel,PASS
Session 11,I.11,Cognitive Tree Animator,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 11,I.12,Shadow Gallery,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 11,I.13,Agent Constellation,5,4,5,2,5,5,2,32.36,Strong Win,PASS
Session 11,I.14,Density Mandala,5,3,5,2,5,5,2,29.09,Strong Win,PASS
Session 11,I.15,Temperature Lab,5,4,5,4,5,5,2,37.50,Strong Win,PASS
Session 11,I.16,Timeline Scrubber,5,4,5,4,5,5,2,37.50,Strong Win,PASS
Session 11,I.17,Entropy Heatmap,4,4,5,4,5,5,2,36.53,Strong Win,PASS
Session 11,I.18,Triad Symphony,5,3,5,2,5,5,2,29.09,Strong Win,PASS
Session 11,I.19,Event Stream Waterfall,4,4,5,3,5,5,2,33.97,Strong Win,PASS
Session 11,I.20,FluxScreen Replay,4,4,5,4,5,5,2,36.53,Strong Win,PASS
Session 11,I.21,Glitch Poetry,5,3,5,2,5,5,2,29.09,Strong Win,PASS
Session 11,I.22,Density Field Editor,5,4,5,3,5,5,3,29.74,Strong Win,PASS
Session 11,I.23,Loom Navigator,5,5,5,4,5,5,2,42.55,Crown Jewel,PASS
Session 11,I.24,Why Did You Choose,5,4,4,4,4,5,2,30.72,Strong Win,PASS
Session 11,I.25,Agent Garden Drag,5,5,5,3,5,5,3,34.46,Strong Win,PASS
Session 11,I.26,Stigmergic Trails,5,5,5,3,5,5,3,34.46,Strong Win,PASS
Session 11,I.27,Hint Inspector,4,4,4,4,4,5,2,29.44,Strong Win,PASS
Session 11,I.28,LOD Comparison,4,4,5,3,5,5,2,33.97,Strong Win,PASS
Session 11,I.29,Entropy Race,5,3,5,2,5,5,2,29.09,Strong Win,PASS
Session 11,I.30,Breath Meditation,5,3,5,3,5,5,2,31.19,Strong Win,PASS
Session 11,CLI.31,kg viz,4,4,5,4,5,5,1,40.50,Crown Jewel,PASS
Session 11,CLI.32,kg density text,5,4,5,4,5,5,1,43.65,Crown Jewel,PASS
Session 11,CLI.33,kg sparkline nums,4,4,5,5,5,5,1,43.43,Crown Jewel,PASS
Session 11,CLI.34,kg entropy,3,3,4,4,4,5,1,26.53,Strong Win,PASS
Session 11,CLI.35,kg glitch text,5,3,5,3,5,5,1,36.54,Strong Win,PASS
Session 11,CLI.36,kg weather,4,4,5,5,5,5,1,43.43,Crown Jewel,PASS
Session 11,CLI.37,kg loom,4,4,5,4,4,5,1,37.14,Strong Win,PASS
Session 11,CLI.38,kg shadow viz,5,4,5,4,4,5,1,40.08,Crown Jewel,PASS
Session 11,CLI.39,kg hint agent,3,4,4,4,4,5,1,31.63,Strong Win,PASS
Session 11,CLI.40,kg breathe,5,3,5,3,5,5,1,36.54,Strong Win,PASS
Session 11,W.41,Wire Tap Overlay,4,4,5,3,5,5,2,33.97,Strong Win,PASS
Session 11,W.42,Pheromone Trails,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 11,W.43,Connection Animator,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 11,W.44,Broadcast Radar,4,4,5,3,5,5,2,33.97,Strong Win,PASS
Session 11,W.45,Error Flash,5,4,5,4,5,5,1,43.65,Crown Jewel,PASS
Session 11,W.46,Throughput Gauge,4,4,4,4,5,5,2,30.36,Strong Win,PASS
Session 11,W.47,Dead Letter Queue,4,4,4,4,4,5,2,29.44,Strong Win,PASS
Session 11,W.48,Circuit Breaker Status,3,4,4,4,4,5,2,27.60,Strong Win,PASS
Session 11,W.49,Synapse Visualizer,5,4,5,3,5,5,3,29.74,Strong Win,PASS
Session 11,W.50,Flux Pipeline Diagram,5,5,5,4,5,5,3,36.86,Strong Win,PASS
Session 11,Art.51,Agent Aurora,5,3,5,2,5,5,2,29.09,Strong Win,PASS
Session 11,Art.52,Entropy Ocean,5,3,5,2,5,5,2,29.09,Strong Win,PASS
Session 11,Art.53,Cognitive Terrarium,5,4,5,3,5,5,3,29.74,Strong Win,PASS
Session 11,Art.54,Time Crystal,5,3,5,2,5,5,3,24.95,Solid,PASS
Session 11,Art.55,Void Meditation,5,3,5,3,5,5,1,36.54,Strong Win,PASS
Session 11,Art.56,Agent Haiku,5,3,5,2,5,5,2,29.09,Strong Win,PASS
Session 11,Art.57,Density Rain,5,3,5,2,5,5,2,29.09,Strong Win,PASS
Session 11,Art.58,The Shadow Speaks,5,4,4,3,4,5,2,28.80,Strong Win,PASS
Session 11,Art.59,Glitch Screensaver,5,3,5,2,5,5,2,29.09,Strong Win,PASS
Session 11,Art.60,Breath Garden,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 12,U.1,kgents tools,4,4,4,4,5,5,2,30.36,Strong Win,PASS
Session 12,U.2,Tool Composition Builder,5,5,5,3,5,5,3,34.46,Strong Win,PASS
Session 12,U.3,Circuit Breaker Dashboard,5,4,5,4,5,5,2,37.50,Strong Win,PASS
Session 12,U.4,kgents execute,4,4,5,4,4,5,1,37.14,Strong Win,PASS
Session 12,U.5,Permission Visualizer,4,4,4,3,5,5,2,30.10,Strong Win,PASS
Session 12,U.6,Audit Trail Viewer,4,4,4,4,4,5,2,29.44,Strong Win,PASS
Session 12,U.7,Tool Latency Heatmap,4,4,4,3,5,5,2,30.10,Strong Win,PASS
Session 12,U.8,MCP Server Playground,5,4,4,3,4,5,3,24.77,Solid,PASS
Session 12,U.9,Retry Strategy Tester,5,4,4,3,5,5,2,31.50,Strong Win,PASS
Session 12,U.10,Parallel vs Sequential Race,5,4,4,3,5,5,2,31.50,Strong Win,PASS
Session 12,U.11,Tool Capability Cards,4,4,5,4,5,5,1,40.50,Crown Jewel,PASS
Session 12,U.12,kgents secure,3,4,4,4,3,5,1,28.63,Strong Win,PASS
Session 12,P.1,kgents parse,5,5,5,5,5,5,1,51.43,Crown Jewel,PASS
Session 12,P.2,Confidence Thermometer,4,4,5,4,5,5,1,40.50,Crown Jewel,PASS
Session 12,P.3,Repair Timeline,5,4,5,4,5,5,2,37.50,Strong Win,PASS
Session 12,P.4,Probabilistic AST Explorer,5,5,5,3,5,5,3,34.46,Strong Win,PASS
Session 12,P.5,Format Drift Detector,5,4,5,4,5,5,2,37.50,Strong Win,PASS
Session 12,P.6,Malformed Input Generator,5,4,4,3,5,5,2,31.50,Strong Win,PASS
Session 12,P.7,Parser Battle,5,4,4,3,5,5,2,31.50,Strong Win,PASS
Session 12,P.8,Streaming Parse Visualizer,5,4,5,4,5,5,2,37.50,Strong Win,PASS
Session 12,P.9,kgents coerce,4,4,4,4,4,5,2,29.44,Strong Win,PASS
Session 12,P.10,Low Confidence Paths,4,4,4,3,5,5,2,30.10,Strong Win,PASS
Session 12,P.11,Evolving Parser Stats,4,4,4,3,4,5,2,27.60,Strong Win,PASS
Session 12,P.12,Reflection Loop Visualizer,5,4,5,4,5,5,2,37.50,Strong Win,PASS
Session 12,J.1,kgents reality,5,5,5,5,5,5,1,51.43,Crown Jewel,PASS
Session 12,J.2,Reality Wheel,5,4,5,2,5,5,2,32.36,Strong Win,PASS
Session 12,J.3,Chaos Meter,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 12,J.4,kgents stable,4,4,5,4,4,5,1,37.14,Strong Win,PASS
Session 12,J.5,Stability Report Card,4,4,5,4,5,5,2,36.53,Strong Win,PASS
Session 12,J.6,Import Risk Map,4,4,4,3,5,5,2,30.10,Strong Win,PASS
Session 12,J.7,JIT Compilation Demo,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 12,J.8,Promise Chain Visualizer,5,4,5,3,5,5,3,29.74,Strong Win,PASS
Session 12,J.9,Entropy Budget Bar,5,4,5,4,5,5,1,43.65,Crown Jewel,PASS
Session 12,J.10,kgents compile,5,5,5,4,5,5,2,42.55,Crown Jewel,PASS
Session 12,J.11,Sandbox Escape Test,5,4,5,3,5,5,3,29.74,Strong Win,PASS
Session 12,J.12,Collapse Ceremony,5,4,5,4,5,5,1,43.65,Crown Jewel,PASS
Session 12,J.13,Reality Flip Notification,4,4,4,3,4,5,2,27.60,Strong Win,PASS
Session 13,O.1,kgents observe,5,4,5,4,5,5,2,37.50,Strong Win,PASS
Session 13,O.2,kgents panopticon,5,5,5,4,5,5,3,36.86,Strong Win,PASS
Session 13,O.3,kgents drift,4,4,5,4,5,5,2,36.53,Strong Win,PASS
Session 13,O.4,kgents roc,4,4,5,4,5,5,3,31.16,Strong Win,PASS
Session 13,O.5,Bootstrap Witness CLI,4,4,5,4,5,5,3,31.16,Strong Win,PASS
Session 13,O.6,Borromean Knot Viz,5,4,5,3,5,5,5,24.77,Solid,PASS
Session 13,O.7,kgents hallucinate?,4,4,5,4,5,5,4,26.55,Strong Win,PASS
Session 13,O.8,VoI Budget Viz,4,4,4,4,5,5,5,22.38,Solid,PASS
Session 13,O.9,Dimension Dance TUI,5,4,5,3,5,5,6,22.15,Solid,PASS
Session 13,O.10,Observer Functor REPL,5,5,5,3,4,5,5,24.64,Solid,PASS
Session 13,O.11,Topology Graph,4,4,5,3,5,5,6,20.37,Solid,PASS
Session 13,O.12,Psychosis Demo,5,4,5,3,5,5,4,26.02,Strong Win,PASS
Session 13,O.13,Entropy Weather,5,4,5,3,5,5,4,26.02,Strong Win,PASS
Session 13,O.14,Observer Hierarchy Viz,4,4,4,3,4,5,4,21.04,Solid,PASS
Session 13,O.15,Noethers Theorem Demo,5,5,5,3,4,5,4,25.97,Strong Win,PASS
Session 14,C01,Would Kent Approve Live,5,5,5,5,5,5,1,51.43,Crown Jewel,PASS
Session 14,C02,N Parses in Superposition,5,5,5,5,5,5,1,51.43,Crown Jewel,PASS
Session 14,C03,Living Garden Visualization,5,5,5,5,5,5,1,51.43,Crown Jewel,PASS
Session 14,C04,Soul Tension Detector,5,5,5,5,5,5,1,51.43,Crown Jewel,PASS
Session 14,C05,Circuit Breaker Dashboard,5,5,5,5,5,5,1,51.43,Crown Jewel,PASS
Session 14,C06,Time-Travel Form Replay,5,5,5,5,5,5,1,51.43,Crown Jewel,PASS
Session 14,C07,Dialectical Narrative,5,5,5,4,5,5,2,42.55,Crown Jewel,PASS
Session 14,C08,Instant Metaphor Finder,5,5,5,5,4,5,1,48.57,Crown Jewel,PASS
Session 14,C09,Evolution Visualizer,5,5,5,4,5,5,2,42.55,Crown Jewel,PASS
Session 14,C10,Memory to Story Pipeline,5,5,5,4,5,5,2,42.55,Crown Jewel,PASS
Session 14,C11,Sleep Processes Questions,4,5,5,4,5,5,1,45.71,Crown Jewel,PASS
Session 14,C12,Convergence Replay,5,4,5,4,5,5,1,43.65,Crown Jewel,PASS
Session 14,C13,Recursion Trace,5,4,5,4,5,5,1,43.65,Crown Jewel,PASS
Session 14,C14,Why This Tension,4,5,5,4,5,5,1,45.71,Crown Jewel,PASS
Session 14,C15,Token Economy Dashboard,5,5,5,4,5,5,2,42.55,Crown Jewel,PASS
Session 14,C16,Adversarial Poetry,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 14,C17,Grammar Prevents Danger,5,5,5,4,4,5,2,38.80,Strong Win,PASS
Session 14,C18,Would Kent Allow,4,5,5,4,4,5,2,36.80,Strong Win,PASS
Session 14,C19,Recursive JIT,5,5,5,4,5,5,2,42.55,Crown Jewel,PASS
Session 14,C20,How Does My Body Feel,5,4,5,4,5,5,2,37.50,Strong Win,PASS
Session 14,C21,Parse Replay,4,4,5,4,5,5,2,36.53,Strong Win,PASS
Session 14,C22,What Would Kent Synthesize,5,5,5,4,5,5,2,42.55,Crown Jewel,PASS
Session 14,C23,Self-Healing Pipeline,5,5,5,4,5,5,3,36.86,Strong Win,PASS
Session 14,C24,N Syntheses Explorer,5,5,5,4,5,5,2,42.55,Crown Jewel,PASS
Session 14,C25,Three-Lens Replay,5,5,5,4,5,5,2,42.55,Crown Jewel,PASS
Session 14,C26,Soul-Aware Garden,5,5,5,4,5,5,2,42.55,Crown Jewel,PASS
Session 14,C27,Socratic Sleep Synthesis,5,5,5,4,5,5,2,42.55,Crown Jewel,PASS
Session 14,C28,Tool Output Forensics,4,5,5,4,5,5,2,40.00,Crown Jewel,PASS
Session 14,C29,Adversarial Evolution Viz,5,5,5,4,5,5,3,36.86,Strong Win,PASS
Session 14,C30,Metaphorical Memory,5,5,5,4,5,5,2,42.55,Crown Jewel,PASS
Session 14,C31,Economic Sleep,4,5,5,4,4,5,2,36.80,Strong Win,PASS
Session 14,C32,Ethical Code Review,5,5,5,5,5,5,2,45.54,Crown Jewel,PASS
Session 14,C33,Category Law Prover,5,5,5,4,5,5,3,36.86,Strong Win,PASS
Session 14,C34,Parallel Possibility Explorer,5,5,5,4,5,5,3,36.86,Strong Win,PASS
Session 14,C35,Tension Story Dashboard,5,5,5,4,5,5,3,36.86,Strong Win,PASS
Session 14,C36,Dream Memory Evolution,5,5,5,3,5,5,3,34.46,Strong Win,PASS
Session 14,C37,The Ultimate Dashboard,5,5,5,4,5,5,4,31.03,Strong Win,PASS
Session 14,C46,Thank You Entropy,5,4,5,3,4,5,2,31.97,Strong Win,PASS
Session 14,C47,Future Narratives,5,5,5,4,5,5,3,36.86,Strong Win,PASS
Session 14,C48,Kents Creative Mode,5,5,5,4,4,5,3,33.11,Strong Win,PASS
Session 14,C60,Dialectician Consolidator,4,5,5,4,4,5,2,36.80,Strong Win,PASS
Session 14,C61,Introspector K-gent,4,5,5,4,4,5,2,36.80,Strong Win,PASS
Session 15,Tour.1,Philosophers Tour Script,5,5,5,4,5,5,3,36.86,Strong Win,PASS
Session 15,Tour.2,Developers Tour Script,5,5,5,4,5,5,2,42.55,Crown Jewel,PASS
Session 15,Tour.3,Skeptics Tour Script,4,5,5,4,5,5,4,29.11,Strong Win,PASS
Session 15,Tour.4,Visual Tour Script,5,4,5,4,5,5,1,43.65,Crown Jewel,PASS
Session 15,Tour.5,What If Tour Script,5,5,5,4,5,5,2,42.55,Crown Jewel,PASS
Session 15,Tour.6,Soul Tour Script,5,5,5,4,5,5,2,42.55,Crown Jewel,PASS
Session 15,Tour.7,One-Liner Tour Script,4,4,5,5,5,5,1,43.43,Crown Jewel,PASS
Session 15,Demo.1,Bootstrap Regeneration,5,5,5,5,5,5,5,34.95,Strong Win,PASS
Session 15,Demo.2,K-gent Shadow Detection,5,5,5,5,5,5,1,51.43,Crown Jewel,PASS
Session 15,Demo.3,Parse with Confidence,5,5,5,5,5,5,2,45.54,Crown Jewel,PASS
Session 15,Demo.4,Dialectical Debugger,5,5,5,4,5,5,4,31.03,Strong Win,PASS
Session 15,Demo.5,Stigmergic Field Demo,5,5,5,5,5,5,1,51.43,Crown Jewel,PASS
Session 15,Trick.1,Bootstrap Regeneration Trick,5,5,5,5,5,5,5,34.95,Strong Win,PASS
Session 15,Trick.2,K-gent Shadow Trick,5,5,5,5,5,5,1,51.43,Crown Jewel,PASS
Session 15,Trick.3,Parse Confidence Trick,4,5,5,5,5,5,2,42.40,Crown Jewel,PASS
Session 15,Trick.4,Dialectical Debugger Trick,5,5,5,4,5,5,4,31.03,Strong Win,PASS
Session 15,Trick.5,Stigmergic Field Trick,5,5,5,5,5,5,1,51.43,Crown Jewel,PASS
