ID,Session,Idea_Name,Description,Joy,Composability,Taste,Compression,Showable,Ethical,Complexity,K_Score,Category,Ethical_Gate
S07-17,7,Value Tensor Heatmap,4D visualization Physical/Semantic/Economic/Ethical,5,4,4,1,5,5,4,21.47,Solid,PASS
S07-18,7,Bankruptcy Simulator,Test what happens if an agent runs out of funds mid-operation,3,4,4,2,3,5,2,22.78,Solid,PASS
S07-19,7,Token Futures Trading,Trade future token allocations between agents,5,4,4,2,4,5,4,21.97,Solid,PASS
S07-20,7,Cost Explorer,Drill down into any operation to see token breakdown,3,4,4,3,4,5,2,27.32,Strong Win,PASS
S07-21,7,VoI Dashboard,Show observation costs vs disasters prevented,4,5,4,3,5,5,2,34.06,Strong Win,PASS
S07-22,7,Pidgin Marketplace,Browse available compression pidgins see token savings,5,5,4,4,5,5,3,33.92,Strong Win,PASS
S07-23,7,Natural Language Tax Visualizer,Highlight where tax is being paid suggest pidgins,4,5,4,3,5,5,2,34.06,Strong Win,PASS
S07-24,7,Compression ROI Calculator,Input agent pair get pidgin synthesis recommendation,3,5,4,4,4,5,2,33.85,Strong Win,PASS
S07-25,7,Semantic CPI Monitor,Track system-wide inflation of explanation tokens,3,4,3,3,4,5,2,23.95,Solid,PASS
S07-26,7,Grammar Insurance Broker,Buy insurance policies for grammars view portfolio risk,5,4,4,2,4,5,4,21.97,Solid,PASS
S07-27,7,JIT Speedup Visualizer,Before/after latency comparison for JIT-compiled grammars,4,4,4,3,5,5,3,26.95,Strong Win,PASS
S07-28,7,Deflation Negotiator UI,Interactive tool to compress output when budget-constrained,3,4,4,2,4,5,3,22.62,Solid,PASS
S07-29,7,Chomsky Tax Schedule,Show cost tiers for different grammar complexity levels,3,4,3,3,4,5,2,23.95,Solid,PASS
S07-30,7,Communication Heatmap,Visualize inter-agent message costs identify compression opportunities,4,5,4,3,5,5,3,30.04,Strong Win,PASS
S07-31,7,Mutation Visualizer,Show code diffs with thermodynamic overlays ΔH ΔS ΔG,5,4,5,2,5,5,3,30.27,Strong Win,PASS
S07-32,7,Demon Layer Inspector,Watch mutations get filtered through 5 layers in real-time,5,4,4,2,5,5,3,26.52,Strong Win,PASS
S07-33,7,Hot Spot Heatmap,Visualize code complexity/entropy show mutation targets,4,4,4,3,5,5,2,30.78,Strong Win,PASS
S07-34,7,Schema Success Tracker,Track which mutation schemas work best for your codebase,3,4,4,3,4,5,2,27.32,Strong Win,PASS
S07-35,7,Parasitic Pattern Detector,Highlight code that looks like its gaming tests,4,5,4,3,4,5,2,32.32,Strong Win,PASS
S07-36,7,Evolution Replay,Step through mutation → selection → infection cycle,5,4,4,2,5,5,4,22.09,Solid,PASS
S07-37,7,Gibbs Energy Graph,Plot ΔG over time as system evolves,4,4,4,2,5,5,2,27.54,Strong Win,PASS
S07-38,7,Temperature Controller,UI slider to adjust evolution temperature risk tolerance,3,4,4,3,4,5,2,27.32,Strong Win,PASS
S07-39,7,Lineage Tree Viewer,D3.js tree of phage ancestry successful → child → grandchild,5,5,4,2,5,5,3,28.00,Strong Win,PASS
S07-40,7,Intent Drift Alarm,Alert when mutations deviate from user intent,4,5,4,3,4,5,2,32.32,Strong Win,PASS
S07-41,7,Infection Timeline,Visual timeline of phage lifecycle: stake → infect → test → payoff,4,4,4,2,5,5,3,24.61,Solid,PASS
S07-42,7,Stake Calculator,Calculate required stake based on lines changed + complexity,3,4,4,3,4,5,2,27.32,Strong Win,PASS
S07-43,7,Rollback Viewer,Show what code looked like before/after failed infection,3,4,4,3,4,5,2,27.32,Strong Win,PASS
S07-44,7,Fitness Landscape,3D plot of phage fitness over generation/schema space,5,4,4,1,5,5,4,20.22,Solid,PASS
S07-45,7,Batch Infection Runner,Run 100 phages in parallel show success rate,4,4,4,2,4,5,3,24.07,Solid,PASS
S07-46,7,Phage Status Dashboard,Live view of all active phages mutated/staked/infecting/infected,4,5,4,3,5,5,2,34.06,Strong Win,PASS
S07-47,7,Child Spawner,Interactive tool to spawn child phages from successful parents,3,4,4,2,4,5,3,22.62,Solid,PASS
S07-48,7,Stake History,Track stake win/loss ratio over time,3,4,3,3,4,5,2,23.95,Solid,PASS
S07-49,7,Test Failure Analyzer,Deep dive into why a phages tests failed,3,4,4,3,4,5,3,24.35,Solid,PASS
S07-50,7,Type Error Inspector,Show type errors that caused phage rejection,3,4,4,3,4,5,2,27.32,Strong Win,PASS
S07-51,7,Market Quote Board,Live board showing odds for all pending mutations,5,4,4,2,5,5,3,26.52,Strong Win,PASS
S07-52,7,Betting Interface,Place bets on mutations track your portfolio,5,4,4,2,5,5,3,26.52,Strong Win,PASS
S07-53,7,Liquidity Pool Visualizer,Show AMM pools success tokens vs failure tokens,4,4,4,2,5,5,3,24.61,Solid,PASS
S07-54,7,Bet Settlement Animation,Satisfying animation when bets settle won/lost,5,3,4,2,5,5,2,27.54,Strong Win,PASS
S07-55,7,Market Sentiment Gauge,Market thinks this will succeed vs Market skeptical,3,4,3,3,4,5,2,23.95,Solid,PASS
S07-56,7,Historical Odds Tracker,Chart showing how odds changed over time before settlement,4,4,4,2,4,5,3,24.07,Solid,PASS
S07-57,7,Top Bettors Leaderboard,Whos best at predicting mutation success?,4,3,4,2,5,5,2,25.80,Strong Win,PASS
S07-58,7,Schema Odds Archive,Historical success rates for each mutation schema,3,4,4,3,4,5,2,27.32,Strong Win,PASS
S07-59,7,Auto-Bettor,Agent that automatically bets based on market inefficiencies,5,4,4,2,4,5,4,21.97,Solid,PASS
S07-60,7,Arbitrage Detector,Find mispriced mutations based on schema history,4,4,4,2,3,5,3,21.07,Solid,PASS
S07-61,7,kg budget,Show current token budget and burn rate,3,4,4,4,4,5,1,33.01,Strong Win,PASS
S07-62,7,kg roc,Display Return on Compute for all agents,3,4,4,4,4,5,1,33.01,Strong Win,PASS
S07-63,7,kg hypothesis,Generate hypotheses from observation,4,4,4,3,4,5,2,29.05,Strong Win,PASS
S07-64,7,kg evolve,Run evolution cycle on a module,5,5,4,3,5,5,3,30.04,Strong Win,PASS
S07-65,7,kg bet,Bet tokens on a mutation,5,3,4,2,4,5,2,26.44,Strong Win,PASS
S07-66,7,kg grant,Create Sun grant for ambitious work,4,4,4,3,4,5,2,29.05,Strong Win,PASS
S07-67,7,kg market,Show prediction market quotes,4,4,4,3,4,5,2,29.05,Strong Win,PASS
S07-68,7,kg infect,Manually trigger phage infection,4,4,4,3,4,5,2,29.05,Strong Win,PASS
S07-69,7,kg compress,Analyze compression opportunity,3,5,4,4,3,5,2,31.32,Strong Win,PASS
S07-70,7,kg demon,Show Demon rejection statistics,3,4,4,3,4,5,2,27.32,Strong Win,PASS
S07-71,7,Hypothesis-Driven Evolution,Use HypothesisEngine to generate Intent embeddings for Demon,5,5,4,2,4,5,4,24.49,Solid,PASS
S07-72,7,Budget-Constrained Mutations,Only mutate when RoC > threshold,3,5,4,3,3,5,2,29.82,Strong Win,PASS
S07-73,7,VoI-Guided Selection,Use observation economics to decide which phages to monitor,4,5,4,2,3,5,3,25.82,Strong Win,PASS
S07-74,7,Pidgin for Phage Communication,Phages communicate via compressed language,5,5,4,3,4,5,4,26.32,Strong Win,PASS
S07-75,7,Robin + Evolution Loop,Robin suggests hypothesis → E-gent evolves code to test it,5,5,5,2,5,5,5,25.34,Strong Win,PASS
S07-76,7,Grammar Insurance for Schemas,Insure mutation schemas against failure,4,4,4,2,3,5,3,21.07,Solid,PASS
S07-77,7,JIT-Compiled Demon,Compile Demon filters to bytecode for speed,4,4,4,2,3,5,4,18.71,Solid,PASS
S07-78,7,Semantic Inflation in Phage Descriptions,Charge more tokens for complex mutation explanations,3,4,3,2,3,5,3,18.61,Solid,PASS
S07-79,7,Fiscal Constitution for Evolution,Ensure mutations cant bankrupt the system,4,5,4,2,3,5,4,22.67,Solid,PASS
S07-80,7,Sun Grants Tracked by ValueLedger,Full UVP integration for grant accounting,3,5,4,3,3,5,3,27.04,Strong Win,PASS
S08-01,8,kg feel,How does my body feel? - One-line proprioception,5,5,5,4,5,5,2,43.71,Crown Jewel,PASS
S08-02,8,Morphology REPL,Interactive morpheme composer with cost preview,5,5,5,3,5,5,2,40.05,Crown Jewel,PASS
S08-03,8,kg body sense,One-line proprioception for all agents,5,5,5,3,5,5,2,40.05,Crown Jewel,PASS
S08-04,8,Chrysalis Watcher TUI,Watch metamorphosis live with dream log,5,4,5,2,5,5,3,30.27,Strong Win,PASS
S08-05,8,Morpheme Catalog,Browse all available morphemes with examples,4,5,4,3,5,5,2,34.06,Strong Win,PASS
S08-06,8,kg morph,Apply morpheme to running agent,4,5,4,3,5,5,2,34.06,Strong Win,PASS
S08-07,8,Body Stress Alerts,Proactive warnings for strain/pressure,4,5,4,3,5,5,3,30.04,Strong Win,PASS
S08-08,8,Topology Graph TUI,ASCII agent population tree with status,5,4,4,2,5,5,4,22.09,Solid,PASS
S08-09,8,Morphology Cost Preview,See token cost before manifest,4,5,4,4,4,5,2,35.90,Strong Win,PASS
S08-10,8,Branch Visualizer,Watch population fork animate,5,4,4,2,5,5,4,22.09,Solid,PASS
S08-11,8,Body Emoji Status,🧠💪❤️ vs 🧠💔🤯 quick status,5,3,4,3,5,5,2,29.72,Strong Win,PASS
S08-12,8,Morpheme Validator,Check composition validity before manifest,4,5,4,3,4,5,3,28.55,Strong Win,PASS
S08-13,8,Chrysalis Log,Transformation narrative with full history,4,4,4,2,4,5,4,21.42,Solid,PASS
S08-14,8,Y-gent Merge Strategies,WINNER/ENSEMBLE/CONSENSUS merge modes,4,5,4,2,5,5,5,22.23,Solid,PASS
S08-15,8,Body Diff,What changed in morphology?,4,4,4,3,4,5,3,26.52,Strong Win,PASS
S08-16,8,Topology Timeline,Agent lineage visualization over time,4,5,4,2,4,5,5,21.75,Solid,PASS
S08-17,8,Morphology Templates,Common patterns as presets - GPU agent etc,3,5,4,4,4,5,2,33.85,Strong Win,PASS
S08-18,8,Proprioception History,Body metrics over time with sparklines,4,4,4,2,4,5,4,21.42,Solid,PASS
S08-19,8,Branch Budget Forecast,Can I afford 10 variants?,4,5,4,3,4,5,5,23.31,Solid,PASS
S08-20,8,Body Simulator,What-if morphology analysis,5,4,4,1,4,5,7,14.32,Solid,PASS
S08-21,8,Morpheme DSL,Natural language → morphology,4,4,4,2,4,5,6,16.47,Solid,PASS
S08-22,8,Morphology Diff,Compare two morphologies,3,4,4,3,3,5,3,22.62,Solid,PASS
S08-23,8,Morpheme Recommender,You might want to add X,4,5,4,3,4,5,5,23.31,Solid,PASS
S08-24,8,Visual Morphology Builder,Drag-drop morpheme GUI,5,4,4,1,5,5,8,12.64,Consider,PASS
S08-25,8,Morpheme Combos,Common patterns as macros,4,4,4,2,4,5,4,21.42,Solid,PASS
S08-26,8,Body Health Score,Single 0-100 health metric,3,4,3,4,3,5,3,22.29,Solid,PASS
S08-27,8,Pain Localization,Which replica is struggling?,4,4,4,2,4,5,5,19.41,Solid,PASS
S08-28,8,Body Heatmap,Visual proprioception across all agents,4,4,4,2,5,5,6,17.50,Solid,PASS
S08-29,8,Trauma Replay,What happened before the OOMKill?,4,4,4,2,4,5,4,21.42,Solid,PASS
S08-30,8,Custom Morphemes,User-defined infrastructure blocks,4,4,4,2,4,5,6,16.47,Solid,PASS
S08-31,8,Morpheme Chaining,with_xyz auto-suggests next,3,4,4,2,3,5,4,19.07,Solid,PASS
S08-32,8,Morpheme Conflicts,Detect incompatible compositions,3,5,4,3,3,5,3,27.04,Strong Win,PASS
S08-33,8,Morpheme Marketplace,Community morphemes,5,4,4,1,5,5,9,11.36,Consider,PASS
S08-34,8,Morpheme Versioning,Track morpheme API changes,3,4,3,2,3,5,5,15.74,Solid,PASS
S08-35,8,Topology Metrics,Branch depth merge rate etc,3,4,4,2,3,5,4,19.07,Solid,PASS
S08-36,8,Prune Strategies,Keep top-k variants,4,4,4,2,4,5,5,19.41,Solid,PASS
S08-37,8,Topology Replay,Rerun this branch from history,4,4,4,2,4,5,6,16.47,Solid,PASS
S08-38,8,Convergence Detector,All variants reached same result,4,5,4,2,3,5,5,21.08,Solid,PASS
S08-39,8,Divergence Alerts,Variants are diverging wildly,3,4,4,2,3,5,4,19.07,Solid,PASS
S08-40,8,Chrysalis Failure Recovery,Rollback on failed morph,4,5,4,2,4,5,6,18.85,Solid,PASS
S08-41,8,Dream Log Analyzer,Parse chrysalis dreams for insight,4,4,4,2,4,5,5,19.41,Solid,PASS
S08-42,8,Chrysalis Cost Optimizer,Minimize morphology cost,3,4,4,2,3,5,6,15.04,Solid,PASS
S08-43,8,Parallel Chrysalis,Morph multiple agents simultaneously,4,4,4,1,4,5,7,14.98,Solid,PASS
S08-44,8,kg body --live,Live-updating proprioception TUI,4,4,4,3,4,5,3,26.52,Strong Win,PASS
S08-45,8,kg topology dot,Export topology as Graphviz,4,4,4,2,4,5,4,21.42,Solid,PASS
S08-46,8,kg morph --dry-run,Preview morph without applying,3,4,4,4,3,5,2,28.54,Strong Win,PASS
S08-47,8,kg body export,Export proprioception as JSON/CSV,3,4,3,3,3,5,3,20.17,Solid,PASS
S08-48,8,kg chrysalis abort,Emergency stop for stuck morph,3,4,4,3,3,5,3,22.62,Solid,PASS
S08-49,8,kg body compare,Compare two agents bodies,3,4,4,3,3,5,4,20.53,Solid,PASS
S08-50,8,Ω+B Cost Enforcement,B-gent blocks over-budget morphs,3,5,4,3,3,5,4,24.25,Solid,PASS
S08-51,8,Ω+N Chronicle Integration,N-gent logs all morphology events,3,5,4,3,3,5,3,27.04,Strong Win,PASS
S08-52,8,Y+V Termination,V-gent validates merge results,4,5,4,2,4,5,5,21.75,Solid,PASS
S08-53,8,Ψ→Ω Morphology Suggestions,Ψ-gent metaphors suggest morphemes,4,4,4,2,4,5,6,16.47,Solid,PASS
S08-54,8,O-gent Body Observer,O-gent dimension for proprioception,3,5,4,3,3,5,4,24.25,Solid,PASS
S09-01,9,Symbiont Playground,Interactive REPL showing pure logic + memory separation,5,5,4,3,5,5,2,34.06,Strong Win,PASS
S09-02,9,State Before/After,kg state diff shows state changes during execution,4,4,4,4,5,5,2,33.54,Strong Win,PASS
S09-03,9,Memory Layers,Visual dashboard: immediate/durable/semantic/temporal all at once,5,5,4,3,5,5,3,30.04,Strong Win,PASS
S09-04,9,Wheres My State,CLI to inspect any D-gents current state,3,4,4,4,4,5,1,33.01,Strong Win,PASS
S09-05,9,State Timeline,Scrub through all saved states with sparkline,5,4,4,3,5,5,2,32.51,Strong Win,PASS
S09-06,9,Symbiont Composer,Drag-and-drop pure functions onto memory agents,5,5,4,2,5,5,3,28.00,Strong Win,PASS
S09-07,9,Live State Sync,Two terminals showing same D-gent state in real-time,4,4,4,3,5,5,2,30.78,Strong Win,PASS
S09-08,9,State Pulse,Heartbeat indicator showing when D-gent writes occur,4,3,4,3,5,5,1,33.03,Strong Win,PASS
S09-09,9,Am I Volatile,One-liner showing which D-gents will survive restart,3,4,4,4,4,5,1,33.01,Strong Win,PASS
S09-10,9,Memory Type Detective,Inspector reveals actual D-gent implementation,3,4,3,3,4,5,1,26.80,Strong Win,PASS
S09-11,9,Lens Playground,Interactive lens composition with live preview,5,5,4,3,5,5,2,34.06,Strong Win,PASS
S09-12,9,Lens Law Validator,Visualize GetPut/PutGet/PutPut law violations,4,5,4,3,4,5,2,32.32,Strong Win,PASS
S09-13,9,Prism Explorer,Shows when optional fields exist/dont exist,4,4,4,3,5,5,2,30.78,Strong Win,PASS
S09-14,9,Traversal Painter,Modify all matching elements with one brush,5,4,4,3,5,5,2,32.51,Strong Win,PASS
S09-15,9,Lens Debugger,Step through get/set operations visually,4,4,4,3,4,5,2,29.05,Strong Win,PASS
S09-16,9,Focus Path,kg state focus user.profile.name to drill down,4,4,4,4,4,5,1,35.28,Strong Win,PASS
S09-17,9,Multi-Lens View,Split screen showing different lenses on same state,5,5,4,3,5,5,2,34.06,Strong Win,PASS
S09-18,9,Lens Telescope,Compose lenses interactively: lens1 >> lens2 >> lens3,5,5,4,3,5,5,2,34.06,Strong Win,PASS
S09-19,9,What Can I Focus,Auto-discover all lensable paths in state,4,4,4,3,4,5,2,29.05,Strong Win,PASS
S09-20,9,Lens Performance,Benchmark composed lenses for speed,3,4,3,3,3,5,2,21.68,Solid,PASS
S09-21,9,Crystal Gallery,Browse all saved crystals with metadata,5,4,4,3,5,5,2,32.51,Strong Win,PASS
S09-22,9,Crystallize Now,kg crystal save working on X instant checkpoint,4,4,4,4,4,5,1,35.28,Strong Win,PASS
S09-23,9,Resume Explorer,Pick from saved crystals see what was happening,5,4,4,3,5,5,2,32.51,Strong Win,PASS
S09-24,9,Crystal Lineage Tree,Visualize parent→child→grandchild branches,5,5,4,3,5,5,2,34.06,Strong Win,PASS
S09-25,9,Cherish Mode,Mark important crystals with 🌸 emoji prevent reaping,5,3,4,3,5,5,1,35.25,Strong Win,PASS
S09-26,9,Crystal Reaper Dashboard,Shows TTL countdown pinned crystals,4,4,4,3,5,5,2,30.78,Strong Win,PASS
S09-27,9,Time Travel Debug,Load crystal step forward through history,5,5,5,3,5,5,3,37.49,Strong Win,PASS
S09-28,9,Compression Showdown,Compare gzip vs lz4 vs zstd on real state,4,3,4,3,4,5,2,26.49,Strong Win,PASS
S09-29,9,Crystal Diff,kg crystal diff crystal1 crystal2 shows state delta,4,4,4,4,5,5,2,33.54,Strong Win,PASS
S09-30,9,Auto-Crystallize,Trigger checkpoints on major state transitions,4,4,4,3,4,5,2,29.05,Strong Win,PASS
S09-31,9,Registry TUI,Textual browser for all registered agents/artifacts,5,5,4,3,5,5,2,34.06,Strong Win,PASS
S09-32,9,What Exists,One-liner showing all registered entities,3,4,4,4,4,5,1,33.01,Strong Win,PASS
S09-33,9,Semantic Search,kg registry find time travel debugging with fuzzy matching,5,5,4,4,5,5,2,38.16,Strong Win,PASS
S09-34,9,Type Compatibility,kg registry can-compose agent1 agent2 returns bool,4,5,4,4,4,5,2,35.90,Strong Win,PASS
S09-35,9,Registry Stats,Pie chart of entity types agents/tongues/etc,3,3,3,3,4,5,2,20.41,Solid,PASS
S09-36,9,Freshness Heatmap,Color-code entries by last_used timestamp,4,4,4,3,5,5,2,30.78,Strong Win,PASS
S09-37,9,Deprecation Warnings,Auto-suggest replacements for deprecated entries,4,4,4,3,4,5,2,29.05,Strong Win,PASS
S09-38,9,Auto-Register on Invoke,Agents self-register when first used,4,4,4,3,4,5,2,29.05,Strong Win,PASS
S09-39,9,Usage Analytics,Track which agents are actually invoked,3,4,3,3,3,5,2,21.68,Solid,PASS
S09-40,9,Registry Diff,Compare two catalog snapshots over time,4,4,4,3,4,5,2,29.05,Strong Win,PASS
S09-41,9,Lineage Tree,ASCII art showing successor_to / forked_from relationships,5,5,4,3,5,5,2,34.06,Strong Win,PASS
S09-42,9,Blame Tracker,kg lineage blame agent_v3 shows full provenance,5,5,4,3,5,5,2,34.06,Strong Win,PASS
S09-43,9,Impact Analysis,Deprecating X will break Y Z W with graph,5,5,4,3,5,5,2,34.06,Strong Win,PASS
S09-44,9,Ancestor Breadcrumbs,CLI showing evolution path: v1→v2→v3→v4,4,4,4,4,4,5,1,35.28,Strong Win,PASS
S09-45,9,Fork Detector,Highlight when artifacts diverged from common ancestor,5,5,4,3,5,5,2,34.06,Strong Win,PASS
S09-46,9,Dependency Walker,Walk the full depends_on graph recursively,4,5,4,3,4,5,2,32.32,Strong Win,PASS
S09-47,9,Lineage Export,Generate DOT file for Graphviz visualization,4,4,4,3,5,5,2,30.78,Strong Win,PASS
S09-48,9,Relationship Heatmap,Which relationship types are most common?,3,3,3,2,4,5,2,18.68,Solid,PASS
S09-49,9,Contradict Detector,Find cycles or impossible relationships,4,5,4,3,4,5,2,32.32,Strong Win,PASS
S09-50,9,Lineage Time Machine,Scrub slider to see registry at different times,5,5,4,3,5,5,3,30.04,Strong Win,PASS
S09-51,9,Garden Growth,Watch memory lifecycle: seed→sapling→tree→flower,5,4,4,2,5,5,3,26.52,Strong Win,PASS
S09-52,9,Compost Pile,Deprecated memories shown as decomposing mulch,5,3,4,2,5,5,2,27.54,Strong Win,PASS
S09-53,9,Trust Thermometer,Visual indicator of memory trust 0.0-1.0,4,4,4,3,5,5,1,37.01,Strong Win,PASS
S09-54,9,Evidence Counter,Supporting vs contradicting evidence as ⚖️ scale,4,4,4,3,5,5,2,30.78,Strong Win,PASS
S09-55,9,Memory Mycelium,Network graph of hidden connections between entries,5,5,4,2,5,5,3,28.00,Strong Win,PASS
S10-01,10,Type Taxonomy Browser,TUI widget showing Type I-V distribution in test suite,4,5,4,3,5,5,2,34.06,Strong Win,PASS
S10-02,10,Test Type Recommender,You're testing X you should add Type III observers,3,4,4,3,3,5,2,25.59,Strong Win,PASS
S10-03,10,Type Coverage Heatmap,Visualize which agent types have which test types,5,5,4,3,5,5,3,30.04,Strong Win,PASS
S10-04,10,Type I Fixture Gallery,Library of pre-built fixtures for common patterns,2,4,3,3,2,5,3,17.57,Solid,PASS
S10-05,10,Type Composition Suggester,Combine SpyAgent + PredicateAgent for gated observation,4,5,4,3,4,5,2,32.32,Strong Win,PASS
S10-06,10,Missing Types Detector,Your pipeline has no Type II saboteurs - add chaos testing!,3,4,4,3,3,5,2,25.59,Strong Win,PASS
S10-07,10,Type V Capital Playground,Interactive demo of TrustGate bypass mechanics,5,4,4,2,5,5,3,26.52,Strong Win,PASS
S10-08,10,Type Balance Scorecard,Metric: healthy suites have 20% Type II 30% Type III etc,3,4,4,3,3,5,2,25.59,Strong Win,PASS
S10-09,10,Saboteur Mode CLI,kg sabotage <target> - inject chaos into pipeline,5,4,5,3,5,5,2,38.31,Strong Win,PASS
S10-10,10,Chaos Scheduler,Randomly inject failures based on entropy budget,5,4,4,2,4,5,3,24.07,Solid,PASS
S10-11,10,Byzantine Agent,Malicious agent that lies about outputs trust testing,5,5,4,2,5,5,3,28.00,Strong Win,PASS
S10-12,10,Mutation Fuzzer,Automatically mutate agent outputs detect brittleness,4,4,4,3,4,5,4,23.69,Solid,PASS
S10-13,10,Network Partition Simulator,Simulate network splits in distributed agents,4,4,4,2,3,5,4,19.16,Solid,PASS
S10-14,10,Time Dilation Field,Slow down parts of pipeline latency chaos,5,4,4,3,4,5,2,29.72,Strong Win,PASS
S10-15,10,Semantic Drift Injector,Gradually shift meaning of outputs NoiseAgent++,4,4,4,2,4,5,3,24.07,Solid,PASS
S10-16,10,Glitch Art Generator,Beautiful visualizations of chaos testing results,5,3,5,1,5,5,3,27.27,Strong Win,PASS
S10-17,10,Adversarial Budget,You have 10 chaos tokens spend them wisely,4,4,4,3,4,5,2,29.05,Strong Win,PASS
S10-18,10,Sabotage Leaderboard,Which agent survives most chaos? Hall of Fame,5,4,4,3,5,5,2,32.51,Strong Win,PASS
S10-19,10,Spy Replay Theater,Record pipeline run replay with different agents,5,5,4,3,5,5,3,30.04,Strong Win,PASS
S10-20,10,Mock Fixture Studio,Visual builder for MockAgent configurations,3,4,4,2,4,5,3,22.62,Solid,PASS
S10-21,10,Spy Diff Viewer,Compare two spy histories side-by-side,4,5,4,4,4,5,2,35.90,Strong Win,PASS
S10-22,10,Time-Travel Debugger,Replay pipeline from any SpyAgent checkpoint,5,5,5,3,5,5,4,31.79,Strong Win,PASS
S10-23,10,Spy Network Graph,Visualize all spies in pipeline as network,4,4,4,2,5,5,3,24.61,Solid,PASS
S10-24,10,Mock Library Catalog,L-gent indexed collection of reusable mocks,3,5,3,3,3,5,3,23.25,Solid,PASS
S10-25,10,Spy Compression,Your spy captured 1000 items heres the summary,3,4,3,4,3,5,2,24.68,Solid,PASS
S10-26,10,Cassette Recorder,VCR-style record/replay for agent interactions,4,4,4,3,4,5,4,23.69,Solid,PASS
S10-27,10,Spy Assertion DSL,Fluent API: spy.assert_that().contains().matches(),3,4,4,3,2,5,3,21.11,Solid,PASS
S10-28,10,Mock Drift Detector,Your mock is stale - production changed,4,5,4,3,3,5,3,27.04,Strong Win,PASS
S10-29,10,Refinery Dashboard,Live view of optimization progress textual gradients,4,4,4,3,5,5,3,26.95,Strong Win,PASS
S10-30,10,Prompt Diff Viewer,Show instruction evolution across iterations,4,5,4,4,5,5,2,38.16,Strong Win,PASS
S10-31,10,Teleprompter Arena,Which optimizer wins? MIPRO vs TextGrad showdown,5,4,4,2,5,5,3,26.52,Strong Win,PASS
S10-32,10,Gradient Visualizer,Word clouds of textual gradients over time,5,4,4,3,5,5,2,32.51,Strong Win,PASS
S10-33,10,ROI Optimizer,This optimization will save $X worth $Y to run,3,4,4,4,3,5,2,28.27,Strong Win,PASS
