idea_id,session,name,category,Joy,Composability,Taste,Compression,Showable,Ethical,Complexity,K_Score,notes
S01-01,01,Identity Law Visualizer,Bootstrap/Id,4,5,5,4,5,5,2,33.36,Animated TUI showing Id >> f = f = f >> Id
S01-02,01,kgents id-bench,Bootstrap/Id,3,5,4,4,4,5,1,36.11,Measures if Id >> f has zero overhead
S01-03,01,Identity Crisis Detector,Bootstrap/Id,5,4,5,3,4,5,2,28.71,Finds agents that claim Identity but mutate
S01-04,01,kgents whoami,Bootstrap/Id,4,5,5,5,5,5,2,36.48,PERFECT - Agent self-description
S01-05,01,Identity Playground REPL,Bootstrap/Id,5,5,5,4,5,5,3,27.89,Interactive law testing
S01-06,01,Id Art Generator,Bootstrap/Id,5,3,4,2,5,5,2,23.25,ASCII art of Id doing nothing
S01-07,01,Identity as a Service,Bootstrap/Id,5,4,3,3,4,5,1,32.81,HTTP endpoint returning input unchanged
S01-08,01,Zero-Knowledge Id Proof,Bootstrap/Id,5,2,3,2,3,5,3,12.53,Cryptographic proof of Id invocation
S01-09,01,kgents id-golf,Bootstrap/Id,4,3,4,3,3,5,1,28.62,Smallest Identity implementation challenge
S01-10,01,Identity Meditation Timer,Bootstrap/Id,3,2,3,2,2,5,1,16.07,TUI showing time through Identity unchanged
S01-11,01,Pipeline Builder TUI,Bootstrap/Compose,5,5,5,5,5,5,3,30.50,Drag-and-drop agent composition
S01-12,01,kgents compose-wizard,Bootstrap/Compose,4,5,5,5,5,5,2,36.48,Step-by-step composition wizard
S01-13,01,Composition Depth Analyzer,Bootstrap/Compose,3,5,4,4,4,5,1,36.11,Shows nesting depth using existing depth()
S01-14,01,Associativity Prover,Bootstrap/Compose,4,5,5,4,5,5,2,33.36,Animated proof (f>>g)>>h = f>>(g>>h)
S01-15,01,Pipe Dreams Save/Load,Bootstrap/Compose,4,5,5,5,4,5,2,34.40,Save/load composed pipelines
S01-16,01,Composition Hot-Reload,Bootstrap/Compose,4,4,4,4,4,5,3,20.29,Edit pipeline while running
S01-17,01,kgents >> shell operator,Bootstrap/Compose,5,5,5,5,5,5,2,39.40,CROWN - Unix philosophy for agents
S01-18,01,Composition Graph Visualizer,Bootstrap/Compose,4,5,5,4,5,5,3,25.83,Graphviz-style pipeline viz
S01-19,01,Type-Safe Composition Checker,Bootstrap/Compose,3,5,5,5,3,5,2,29.73,Prevents bad compositions
S01-20,01,Composition Chaos Monkey,Bootstrap/Compose,5,5,4,3,4,5,2,27.52,Random Id insertion to test laws
S01-21,01,Parallel Composition,Bootstrap/Compose,4,5,4,4,4,5,3,21.74,Fan-out composition for parallel exec
S01-22,01,Composition DSL Flowfiles,Bootstrap/Compose,4,5,5,5,5,5,3,28.25,YAML flowfile parser enhancement
S01-23,01,Live Judgment Dashboard,Bootstrap/Judge,5,4,5,4,5,5,3,26.34,Real-time 7 principles evaluation
S01-24,01,kgents judge,Bootstrap/Judge,4,5,5,5,5,5,2,36.48,CLI principle evaluation
S01-25,01,Principle Scoreboard,Bootstrap/Judge,4,5,5,5,5,5,2,36.48,Track principles across codebase
S01-26,01,Judge Explain Mode,Bootstrap/Judge,4,4,5,4,4,5,2,29.40,Detailed verdict explanation
S01-27,01,Taste Test Game,Bootstrap/Judge,5,3,5,3,5,5,2,29.02,"Interactive ""which is more tasteful?"""
S01-28,01,Judge vs User Consensus,Bootstrap/Judge,4,3,4,3,4,5,3,16.95,Compare Judge vs human feedback
S01-29,01,Principle Workshop,Bootstrap/Judge,4,3,4,4,4,5,3,18.84,Interactive principle tutorial
S01-30,01,Auto-Judge CI Hook,Bootstrap/Judge,3,5,4,5,3,5,2,26.43,GitHub action for PR judging
S01-31,01,Principle Violation Detector,Bootstrap/Judge,3,5,5,5,4,5,2,31.65,Static analysis for violations
S01-32,01,Custom Principle Builder,Bootstrap/Judge,4,4,4,4,4,5,3,20.29,Domain-specific principles
S01-33,01,Judgment History Explorer,Bootstrap/Judge,4,4,4,4,4,5,2,26.21,Track judgments over time
S01-34,01,kgents whoami Ground,Bootstrap/Ground,4,4,5,5,5,5,1,48.42,Show what Ground knows
S01-35,01,Ground Editor TUI,Bootstrap/Ground,4,4,5,4,4,5,3,22.76,Interactive persona editor
S01-36,01,Context Snapshot,Bootstrap/Ground,3,5,5,5,4,5,2,31.65,Freeze ground state
S01-37,01,Ground Diff Viewer,Bootstrap/Ground,4,4,4,4,4,5,2,26.21,Show Ground changes
S01-38,01,Persona Playground,Bootstrap/Ground,5,4,5,4,5,5,3,26.34,Try different personas
S01-39,01,Ground Minimal Seed,Bootstrap/Ground,3,4,4,4,3,5,2,22.13,Kolmogorov-compress Ground
S01-40,01,Ground-as-Code,Bootstrap/Ground,4,5,5,5,4,5,2,34.40,Version-control persona in YAML
S01-41,01,Ground Truth Validator,Bootstrap/Ground,3,5,5,5,3,5,2,29.73,Ensure Ground consistency
S01-42,01,Tension Detector TUI,Bootstrap/Contradict,5,4,5,4,5,5,3,26.34,Real-time tension detection
S01-43,01,kgents contradict,Bootstrap/Contradict,4,5,5,5,5,5,2,36.48,CLI tension detection
S01-44,01,Tension Heatmap,Bootstrap/Contradict,4,5,5,4,5,5,3,25.83,Visual heatmap of contradictions
S01-45,01,Contradiction Game,Bootstrap/Contradict,5,3,5,3,5,5,2,29.02,Spot-the-contradiction puzzle
S01-46,01,Custom Tension Detector,Bootstrap/Contradict,4,4,4,4,4,5,3,20.29,Define custom tension rules
S01-47,01,Temporal Contradiction,Bootstrap/Contradict,4,4,5,4,4,5,3,22.76,Past me vs present me
S01-48,01,Contradiction REPL,Bootstrap/Contradict,4,4,4,4,4,5,2,26.21,Interactive tension exploration
S01-49,01,Tension Severity Slider,Bootstrap/Contradict,3,4,4,4,3,5,2,22.13,Adjust detection sensitivity
S01-50,01,LacanError Explorer,Bootstrap/Contradict,5,3,4,3,4,5,2,24.15,Explore what can't be symbolized
S01-51,01,Synthesis Wizard,Bootstrap/Sublate,5,4,5,4,5,5,3,26.34,Interactive synthesis assistant
S01-52,01,kgents sublate,Bootstrap/Sublate,4,5,5,5,5,5,2,36.48,CLI synthesis
S01-53,01,Hold-Tension Tracker,Bootstrap/Sublate,4,5,5,5,4,5,2,34.40,Track deliberately held tensions
S01-54,01,Synthesis Quality Scorer,Bootstrap/Sublate,3,4,4,4,3,5,2,22.13,Rate synthesis quality
S01-55,01,Dialectic Animator,Bootstrap/Sublate,5,4,4,4,5,5,3,23.71,Animated Hegelian dialectic
S01-56,01,Premature Resolution Detector,Bootstrap/Sublate,4,5,5,5,4,5,2,34.40,Catch early resolutions
S01-57,01,Custom Resolution Strategy,Bootstrap/Sublate,4,4,4,4,4,5,3,20.29,Domain-specific synthesis
S01-58,01,Synthesis History,Bootstrap/Sublate,4,4,4,4,4,5,2,26.21,Track resolutions over time
S01-59,01,Convergence Animator,Bootstrap/Fix,5,4,5,4,5,5,2,34.02,Watch values converge real-time
S01-60,01,Fix Playground REPL,Bootstrap/Fix,5,5,5,4,5,5,2,36.02,Interactive fixed-point exploration
S01-61,01,kgents poll,Bootstrap/Fix,4,5,5,5,4,5,2,34.40,Polling pattern CLI
S01-62,01,Entropy Budget Visualizer,Bootstrap/Fix,4,4,5,4,5,5,2,31.36,Show entropy depletion
S01-63,01,Fix History Viewer,Bootstrap/Fix,4,4,4,4,4,5,2,26.21,Explore full iteration history
S01-64,01,Bounded History Demo,Bootstrap/Fix,3,4,4,4,3,5,2,22.13,Show memory savings
S01-65,01,Convergence Racer,Bootstrap/Fix,5,4,4,4,5,5,3,23.71,Race different transforms
S01-66,01,kgents retry,Bootstrap/Fix,4,5,5,5,4,5,2,34.40,Retry commands with Fix pattern
S01-67,01,Non-Convergence Debugger,Bootstrap/Fix,4,4,5,4,4,5,3,22.76,Debug why Fix didn't converge
S01-68,01,Proximity Graph,Bootstrap/Fix,4,4,5,4,5,5,2,31.36,Visualize proximity over time
S01-69,01,Adaptive Convergence Tuner,Bootstrap/Fix,4,4,5,4,4,5,3,22.76,Auto-adjust max_iterations
S01-70,01,Musical Convergence,Bootstrap/Fix,5,3,4,3,5,5,2,25.94,Sonified fixed-point
S02-01,02,kgents whatif,Archetype/Uncertain,5,5,5,5,5,5,1,55.63,CROWN JEWEL - Show 3 alternatives
S02-02,02,kgents why,Archetype/Questioner,5,4,5,4,4,5,1,45.03,"Recursive ""why?"" until bedrock"
S02-03,02,kgents tension,Archetype/Dialectician,4,5,5,5,5,5,1,51.51,List all unresolved tensions
S02-04,02,kgents challenge,Archetype/Questioner,5,4,5,4,5,5,1,48.03,Devil's Advocate mode
S02-05,02,Child Mode,Archetype/Questioner,5,3,5,4,5,5,1,45.21,Why? Why? WHY?
S02-06,02,Dynamic Prompt Character,Archetype/Shapeshifter,5,4,4,4,5,5,1,43.23,ASCII that breathes
S02-07,02,Collapse Ceremony,Archetype/Uncertain,5,4,5,4,5,5,1,48.03,Dramatic wave collapse
S02-08,02,What Do I Look Like,Archetype/Shapeshifter,5,3,5,4,5,5,1,45.21,Agent self-description
S02-09,02,kgents sleep,Archetype/Consolidator,4,4,5,4,4,5,2,29.40,Trigger consolidation
S02-10,02,kgents sleep --watch,Archetype/Consolidator,5,4,5,4,5,5,2,34.02,Watch consolidation live
S02-11,02,kgents sleep-debt,Archetype/Consolidator,4,4,4,4,4,5,2,26.21,How long since last sleep?
S02-12,02,kgents dream,Archetype/Consolidator,5,3,4,3,5,5,2,25.94,Poetic consolidation mode
S02-13,02,kgents sleep-log,Archetype/Consolidator,4,4,4,4,4,5,2,26.21,History of sleep cycles
S02-14,02,Before/After Sleep Diff,Archetype/Consolidator,5,4,5,4,5,5,2,34.02,Show compression visually
S02-15,02,Sleep Debt Meter Widget,Archetype/Consolidator,4,4,4,4,4,5,2,26.21,I-gent sleep debt widget
S02-16,02,Hypnagogia Visualizer,Archetype/Consolidator,5,3,4,3,4,5,3,18.69,Liminal space visualization
S02-17,02,Sleep Schedule,Archetype/Consolidator,3,4,4,4,3,5,3,17.13,Auto-consolidation config
S02-18,02,Lucid Consolidation,Archetype/Consolidator,4,3,4,3,4,5,3,16.95,User-guided consolidation
S02-19,02,Consolidation Battle,Archetype/Consolidator,5,3,4,3,4,5,3,18.69,Pit strategies against each other
S02-20,02,kgents assume,Archetype/Questioner,4,4,5,4,4,5,2,29.40,Assumption excavator
S02-21,02,kgents interview,Archetype/Questioner,4,4,4,4,4,5,2,26.21,Structured questioning
S02-22,02,Socratic Mode Toggle,Archetype/Questioner,4,4,4,4,4,5,2,26.21,Turn any command Socratic
S02-23,02,Code Review Questioner,Archetype/Questioner,4,4,4,4,4,5,2,26.21,Questions-only review
S02-24,02,Answer Own Question,Archetype/Questioner,5,3,4,3,4,5,2,24.15,Rubber duck elevated
S02-25,02,Question Depth Tracker,Archetype/Questioner,4,3,4,3,4,5,2,21.90,"Visualize ""why?"" tree depth"
S02-26,02,Mood Glyph,Archetype/Shapeshifter,4,3,4,3,4,5,1,30.91,Emotional state indicator
S02-27,02,Phase Indicator,Archetype/Shapeshifter,4,3,5,4,5,5,1,41.45,Work stage visualization
S02-28,02,Complexity-Adaptive Verbosity,Archetype/Shapeshifter,4,4,4,4,4,5,2,26.21,Output adapts to task
S02-29,02,Resource-Based Appearance,Archetype/Shapeshifter,5,3,4,3,5,5,2,25.94,Visual reflects resources
S02-30,02,Confidence Gradient,Archetype/Shapeshifter,4,4,4,4,5,5,2,27.95,Visual confidence indicator
S02-31,02,Terminal Theme Shifter,Archetype/Shapeshifter,5,3,4,3,5,5,2,25.94,Terminal colors match mood
S02-32,02,Shapeshifter Registry,Archetype/Shapeshifter,4,4,4,4,4,5,3,20.29,Pre-defined visual modes
S02-33,02,Depth-Responsive Nesting,Archetype/Shapeshifter,4,4,4,4,4,5,2,26.21,Visual adapts to nesting
S02-34,02,kgents spawn,Archetype/Spawner,4,5,5,5,4,5,2,34.40,Task decomposition
S02-35,02,Entropy Budget Bar,Archetype/Spawner,4,5,5,5,5,5,1,51.51,Gamified recursion limits
S02-36,02,kgents spawn --limit,Archetype/Spawner,3,5,4,4,4,5,1,36.11,Control spawn depth
S02-37,02,Why Did You Spawn,Archetype/Spawner,4,4,4,4,4,5,2,26.21,Justify spawn decisions
S02-38,02,Parallel vs Serial Toggle,Archetype/Spawner,3,5,4,4,4,5,2,25.58,Execution strategy toggle
S02-39,02,Entropy Exhaustion Alert,Archetype/Spawner,4,4,5,4,4,5,1,41.50,Alert on budget depletion
S02-40,02,Spawn Tree Visualizer,Archetype/Spawner,5,4,5,4,5,5,2,34.02,Beautiful recursive tree
S02-41,02,Collapse Animation,Archetype/Spawner,5,3,5,3,5,5,2,29.02,Animate expand/collapse
S02-42,02,Leaf Node Highlighter,Archetype/Spawner,4,4,4,4,4,5,2,26.21,Show where work happens
S02-43,02,Aggregation Visualizer,Archetype/Spawner,5,4,5,4,5,5,2,34.02,Show results aggregating
S02-44,02,Spawn History,Archetype/Spawner,4,4,4,4,4,5,2,26.21,Track spawn behavior
S02-45,02,Superposition Display,Archetype/Uncertain,5,5,5,5,5,5,2,39.40,All variations side-by-side
S02-46,02,Delayed Collapse Toggle,Archetype/Uncertain,4,5,4,4,4,5,2,28.08,Control collapse timing
S02-47,02,Uncertainty Meter,Archetype/Uncertain,3,4,4,4,4,5,1,33.47,Quantify agent uncertainty
S02-48,02,What Did I Not Choose,Archetype/Uncertain,5,4,5,4,5,5,2,34.02,Show counterfactuals
S02-49,02,Branch Probability Weights,Archetype/Uncertain,4,4,4,4,4,5,2,26.21,Weighted superposition
S02-50,02,Parallel Universe Diff,Archetype/Uncertain,5,4,5,4,5,5,2,34.02,Side-by-side variation diff
S02-51,02,Variation Composer,Archetype/Uncertain,5,4,4,4,4,5,3,22.22,Mix best parts of each
S02-52,02,Explore All Mode,Archetype/Uncertain,4,4,4,4,4,5,2,26.21,Never collapse
S02-53,02,Schrodinger Demo,Archetype/Uncertain,5,4,4,4,5,5,2,30.62,Quantum cat demo
S02-54,02,Variation Breeding,Archetype/Uncertain,5,4,4,4,4,5,3,22.22,Genetic algorithm evolution
S02-55,02,Quantum Branch Viz,Archetype/Uncertain,5,4,5,4,5,5,2,34.02,Tree of possibilities
S02-56,02,kgents witness,Archetype/Witness,4,5,5,5,4,5,2,34.40,Insert observer
S02-57,02,What Did You See,Archetype/Witness,4,5,5,5,4,5,1,48.56,Witness summary
S02-58,02,Time-Travel Debugger,Archetype/Witness,5,5,5,5,5,5,3,30.50,Replay from any point
S02-59,02,Ghost Mode,Archetype/Witness,5,4,4,4,5,5,2,30.62,Silent observer
S02-60,02,Witness Insertion Points,Archetype/Witness,4,4,4,4,4,5,2,26.21,Auto-detect insertion
S02-61,02,Narrative Generation,Archetype/Witness,5,4,5,4,5,5,2,34.02,Story from witness logs
S02-62,02,Witness Diff,Archetype/Witness,4,4,5,4,5,5,2,31.36,Before/after observations
S02-63,02,Witness Network,Archetype/Witness,5,4,5,4,5,5,3,26.34,Graph of relationships
S02-64,02,Selective Witness,Archetype/Witness,3,4,4,4,3,5,2,22.13,Filter observations
S02-65,02,Witness Audit Trail,Archetype/Witness,3,5,5,5,4,5,2,31.65,Compliance-ready
S02-66,02,Witness Poetry,Archetype/Witness,5,3,5,3,5,5,2,29.02,Poetic narratives
S02-67,02,Synthesize Now Button,Archetype/Dialectician,4,5,5,5,4,5,1,48.56,Manual synthesis trigger
S02-68,02,Why Hold,Archetype/Dialectician,3,4,5,4,3,5,1,35.44,Explain held tensions
S02-69,02,Dialectic Chain,Archetype/Dialectician,4,4,5,4,5,5,2,31.36,Recursive synthesis
S02-70,02,Tension Age Tracker,Archetype/Dialectician,4,4,4,4,4,5,2,26.21,How long held?
S02-71,02,Synthesis Suggester,Archetype/Dialectician,4,4,4,4,4,5,2,26.21,AI proposals
S02-72,02,Tension Queue Dashboard,Archetype/Dialectician,4,4,5,4,5,5,2,31.36,Visual tension dashboard
S02-73,02,Dialectic Replay,Archetype/Dialectician,5,4,5,4,5,5,2,34.02,Watch synthesis replay
S02-74,02,Tension Heatmap,Archetype/Dialectician,4,4,5,4,5,5,2,31.36,Severity visualization
S02-75,02,Aufheben Explainer,Archetype/Dialectician,4,4,5,4,4,5,2,29.40,Preserved/negated/elevated
S02-76,02,Dialectician Battle,Archetype/Dialectician,5,3,4,3,4,5,3,18.69,Competitive synthesis
S02-77,02,kgents introspect,Archetype/Introspector,5,5,5,5,5,5,2,39.40,Full three-lens analysis
S02-78,02,Lens Selector,Archetype/Introspector,3,4,4,4,3,5,1,31.24,Choose hegel/lacan/jung
S02-79,02,Shadow Detector,Archetype/Introspector,5,4,5,4,5,5,2,34.02,What are we NOT seeing?
S02-80,02,Blind Spot Finder,Archetype/Introspector,5,4,5,4,5,5,2,34.02,What lenses miss
S02-81,02,Meta-Synthesis Generator,Archetype/Introspector,5,4,5,4,4,5,2,31.90,Integrate all three
S02-82,02,Three-Column View,Archetype/Introspector,4,4,5,4,5,5,2,31.36,Hegel|Lacan|Jung
S02-83,02,Register Analysis,Archetype/Introspector,4,4,5,4,5,5,2,31.36,Symbolic/Imaginary/Real
S02-84,02,Projection Detector,Archetype/Introspector,5,4,5,4,5,5,2,34.02,Catch projecting
S04-01,04,Contradiction Finder,H-gent/Hegel,4,4,5,4,4,5,2,29.40,Codebase tensions
S04-02,04,Design Dialectic,H-gent/Hegel,5,4,5,4,5,5,2,34.02,Surface requirement tensions
S04-03,04,API Contradiction Scan,H-gent/Hegel,4,4,5,4,4,5,2,29.40,Find interface inconsistencies
S04-04,04,Synthesis Suggestion,H-gent/Hegel,4,4,5,4,4,5,3,22.76,Reconcile X and Y
S04-05,04,Tension Dashboard,H-gent/Hegel,5,4,5,4,5,5,2,34.02,Live productive tensions
S04-06,04,Dialectic REPL,H-gent/Hegel,5,4,5,4,5,5,2,34.02,Interactive synthesis
S04-07,04,Sublation Explainer,H-gent/Hegel,3,4,5,4,4,5,1,37.97,Preserved/negated/elevated
S04-08,04,Shadow Scanner,H-gent/Jung,5,4,5,5,5,5,1,52.54,CROWN - Claims X shadows Y
S04-09,04,Persona-Shadow Gap,H-gent/Jung,5,4,5,4,5,5,2,34.02,Visualize integration balance
S04-10,04,Projection Detector,H-gent/Jung,5,4,5,4,5,5,2,34.02,Find projections onto users
S04-11,04,Archetype Identifier,H-gent/Jung,5,4,5,4,5,5,1,48.03,Your code is Wise Old Man
S04-12,04,Integration Path Generator,H-gent/Jung,4,4,5,4,4,5,2,29.40,How to integrate shadow
S04-13,04,Collective Shadow Scan,H-gent/Jung,4,4,5,4,4,5,2,29.40,System-level shadow
S04-14,04,Shadow Confessional,H-gent/Jung,5,4,5,5,5,5,1,52.54,Safe acknowledgment
S04-15,04,What Cant You Say,H-gent/Jung,5,4,5,5,5,5,1,52.54,CROWN - Surface unspeakable
S04-16,04,Trickster Mode,H-gent/Jung,5,3,4,3,5,5,2,25.94,Activate shadow creativity
S04-17,04,Self Archetype Warning,H-gent/Jung,4,4,5,4,4,5,1,41.50,Detect inflation
S04-18,04,Register Radar,H-gent/Lacan,5,4,5,4,5,5,2,34.02,Show RSI position in 3D
S04-19,04,Slippage Detector,H-gent/Lacan,5,4,5,5,5,5,1,52.54,CROWN - Claim facts but ideals
S04-20,04,Gap Surfacer,H-gent/Lacan,5,4,5,5,5,5,1,52.54,CROWN - What can't be represented
S04-21,04,Imaginary Alert,H-gent/Lacan,4,4,5,5,5,5,1,48.42,Aspirational not factual
S04-22,04,Real Proximity Meter,H-gent/Lacan,5,4,5,4,5,5,2,34.02,How close to impossible
S04-23,04,Knot Status Monitor,H-gent/Lacan,4,4,5,4,4,5,2,29.40,Registers properly knotted?
S04-24,04,Objet Petit A Finder,H-gent/Lacan,5,4,5,4,5,5,2,34.02,System organized around lack
S04-25,04,Symbolic Purifier,H-gent/Lacan,3,4,4,4,3,5,2,22.13,Remove imaginary fluff
S04-26,04,Touch the Real,H-gent/Lacan,5,4,5,4,5,5,2,34.02,Force limit confrontation
S04-27,04,Register Triangulator,H-gent/Lacan,5,4,5,4,5,5,3,26.34,All 3 perspectives at once
S04-28,04,Metaphor Suggester,Psi-gent,5,4,5,4,5,5,3,26.34,Try thinking of X as Y
S04-29,04,Challenge Mode,Psi-gent,5,4,5,4,5,5,2,34.02,Stress-test metaphor
S04-30,04,Distortion Meter,Psi-gent,4,4,4,4,4,5,2,26.21,Translation loss
S04-31,04,Metaphor Mapper,Psi-gent,5,4,5,4,5,5,3,26.34,Concept mapping viz
S04-32,04,Abstraction Slider,Psi-gent,5,4,5,4,5,5,2,34.02,Concrete to Abstract
S04-33,04,Projection Visualizer,Psi-gent,5,4,5,4,5,5,3,26.34,Problem in metaphor space
S04-34,04,Translation Validator,Psi-gent,4,4,4,4,4,5,2,26.21,Solution maps back?
S04-35,04,Quick Metaphor,Psi-gent,4,4,4,4,4,5,2,26.21,One-shot metaphor
S04-36,04,kg shadow,H-gent/CLI,5,5,5,5,5,5,1,55.63,CROWN - CLI shadow analysis
S04-37,04,kg dialectic,H-gent/CLI,5,5,5,5,5,5,1,55.63,CROWN - Synthesize two concepts
S04-38,04,kg mirror,H-gent/CLI,5,4,5,5,5,5,1,52.54,Reflect on self-image
S04-39,04,kg metaphor,Psi-gent/CLI,5,4,5,4,5,5,2,34.02,Suggest metaphor
S04-40,04,kg register,H-gent/CLI,4,4,5,5,5,5,1,48.42,Show RSI position
S04-41,04,kg project,H-gent/CLI,5,5,5,5,5,5,1,55.63,CROWN - What projecting?
S04-42,04,kg archetype,H-gent/CLI,5,4,5,5,5,5,1,52.54,Dominant archetype
S04-43,04,kg contradict,H-gent/CLI,4,5,5,5,4,5,1,48.56,Find antithesis
S04-44,04,kg sublime,H-gent/CLI,4,5,5,5,4,5,1,48.56,Explicit sublation
S04-45,04,kg gaps,H-gent/CLI,5,5,5,5,5,5,1,55.63,CROWN - What can't be said
S04-46,04,Meta-Introspection,H-gent/Pipeline,5,5,5,5,5,5,3,30.50,All 3 H-gents + meta
S04-47,04,Introspection REPL,H-gent/Pipeline,5,5,5,5,5,5,3,30.50,Interactive exploration
S04-48,04,Who Am I Really,H-gent/Pipeline,5,4,5,4,5,5,2,34.02,Full self-examination
S04-49,04,Integration Dashboard,H-gent/Pipeline,4,4,5,4,5,5,3,24.28,Track all 3 dimensions
S04-50,04,Philosophical Debugger,H-gent/Pipeline,5,4,5,4,5,5,4,21.49,Step through introspection
S06-01,06,Oblique Strategies Agent,A-gent/Creativity,5,4,5,4,5,5,2,34.02,Brian Eno lateral thinking
S06-02,06,PAYADOR Battle Mode,A-gent/Creativity,5,4,5,4,5,5,3,26.34,Agent vs agent improv
S06-03,06,Constraint Poet,A-gent/Creativity,4,4,5,4,4,5,2,29.40,Productive constraints
S06-04,06,Bisociation Engine,A-gent/Creativity,4,4,5,4,4,5,2,29.40,Koestler forced connections
S06-05,06,Yes-And Pipeline,A-gent/Creativity,4,5,5,5,4,5,2,34.40,Chain creativity modes
S06-06,06,Creative Warm-Up,A-gent/Creativity,4,4,5,5,4,5,1,45.65,Daily creative exercises
S06-07,06,Metaphor Mixer,A-gent/Creativity,5,4,5,4,5,5,2,34.02,Unexpected metaphors
S06-08,06,Anti-Pattern Provocateur,A-gent/Creativity,4,4,5,4,4,5,2,29.40,Deliberate wrong approaches
S06-09,06,Exquisite Corpus,A-gent/Creativity,5,4,5,4,4,5,3,24.70,Collaborative creativity
S06-10,06,Genre Shifter,A-gent/Creativity,5,4,5,4,5,5,2,34.02,Reframe across genres
S06-11,06,Reverse Brainstorm,A-gent/Creativity,4,4,5,5,4,5,1,45.65,Make idea WORSE
S06-12,06,Emotion Palette Agent,A-gent/Creativity,4,4,5,4,4,5,2,29.40,Suggest emotional tones
S06-13,06,Stream of Consciousness,A-gent/Creativity,4,4,4,4,3,5,3,18.94,Parse rambling thoughts
S06-14,06,Creative Checkpoint,A-gent/Creativity,3,4,4,4,3,5,2,22.13,Periodic fresh perspectives
S06-15,06,Serendipity Injector,A-gent/Creativity,4,4,4,5,4,5,1,40.70,"Random ""what if"" interrupts"
S06-16,06,Muse Rotation,A-gent/Creativity,5,4,4,4,4,5,3,22.22,8 Greek muses as modes
S06-17,06,Cross-Pollination Suggester,A-gent/Creativity,4,4,5,4,3,5,2,27.44,Techniques from Y for X
S06-18,06,Safety Cage Demo,G-gent/Grammar,5,5,5,5,5,5,2,39.40,Try to break DSL
S06-19,06,DSL Speedrun,G-gent/Grammar,4,5,5,5,5,5,2,36.48,30-second grammar gen
S06-20,06,Grammar Golf,G-gent/Grammar,5,4,5,4,4,5,2,31.90,Minimize grammar size
